python_test,python_test_case,failure_family,r_fixture_file,r_fixture_case,intermediate_fields_available,coverage_status
tests/parity/test_multivariate_regression.py,test_nns_m_reg_factor_levels_return_numeric_codes,multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_m_reg_factor_levels_class_confidence_interval_matches_r,multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_multivariate_regression.py,test_nns_reg_matrix_classification_dispatches_to_m_reg,multivariate regression,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,multiclass,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[3],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[5],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_ts_test_deterministic_matches_r[8],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_r13_smoke.py,test_r_nns_13_seeded_stack_smoke_sample,NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method1_regression,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_regression.py,test_nns_reg_factor_predictor_matches_r_full_rank_dummy_path,NNS.reg,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,reg_default,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_numeric_pred_int_matches_r[1-0.95],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_numeric,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_numeric_pred_int_matches_r[2-0.8],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_numeric,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method2-5],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method3-10],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[True-method0],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method1_regression,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method4-10],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[True-method2],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_var_like_ts_test_matches_r,NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_binary_class_pred_int_matches_r[1],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_class_pred_int,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_pred_int_matches_r[method0],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_pred_int,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[False-method0],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method1_regression,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_boost.py,test_nns_boost_binary_class_pred_int_matches_r[2],NNS.boost,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,boost_class_pred_int,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_pred_int_matches_r[method2],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_numeric_matches_r[False-method2],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_binary_class_matches_r[method0],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_classification,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_mixed_factor_predictor_method12_matches_r,NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method1_regression,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method0-5],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_binary_class_pred_int_matches_r[method0],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_classification,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_ts_test_matches_r[method1-10],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_multiclass_matches_r[method2],NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_method12_ts,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_factor_like_class_pred_int_matches_r,NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_classification,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_stack.py,test_nns_stack_factor_like_class_matches_r,NNS.stack,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,stack_classification,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_var.py,test_var_interpolate_and_extrapolate_matches_r[trailing_na-3],NNS.VAR,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,var_cor_missing,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_var.py,test_var_multivariate_stack_stage_matches_r[tau1-1-cor],NNS.VAR,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,var_cor_tau1,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_var.py,test_public_nns_var_cor_handles_missing_values_like_r,NNS.VAR,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,var_cor_missing,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
tests/parity/test_var.py,test_public_nns_var_cor_matches_r[scalar_tau-1],NNS.VAR,tests/parity/fixtures/repaired_r_13_1_54c98418/fixtures.json,var_cor_tau1,"inputs,args,public output,input/output checksums; generator covers part/reg/mreg/stack/boost/var families and stores full R result objects",covered_by_planned_54c98418_repaired_r_fixture
